ID,Name,Address,Phone,SSN,AccountNumber,AccountBalance,CreditCard,CCLimit,CCBalance,UnsecuredLoanAccountNumber,UnsecuredLoanBalance,APR,UnsecuredLoanAmount
1111995,Harry,CA 90716,271-415-5568,241-23-64561,8.66E+15,28206,8.66E+15,4000,1836,,,,
1113129,Sam,FL 34442,461-131-5570,241-23-67894,8.31E+15,19282,8.31E+15,3000,2666,,,,
1112281,Ram,IN 46228,875-555-5576,241-23-71227,9.10E+15,27767,3.30E+15,3000,2360,,,,
1112540,Ali,NC 27408,325-555-5577,241-23-34564,1.10E+15,3852,3.04E+15,4000,775,,,,
1113127,Asif,FL 34442,155-555-5578,241-23-77893,5.03E+15,18877,5.03E+15,3000,1023,,,,
1112111,Kabir,MD 21234,552-555-5579,241-23-81226,4.47E+15,9927,1.17E+15,4000,495,,,,
1112120,Pele,NM 87507,715-555-5580,241-23-84559,4.39E+15,4751,1.39E+15,3000,2036,,,,
1112147,Phil,MD 21228,555-555-5581,241-23-87892,4.07E+15,20907,1.07E+15,2000,2397,,,,
1114140,Linda,NC 27408,161-115-5568,241-23-11225,3.64E+15,12481,3.61E+15,4000,788,,,,
1112873,Samuel,PA 19382,555-555-5583,241-23-94558,3.41E+15,10304,3.13E+15,3000,257,,,,
1113204,Jonathan,DE 19977,555-555-5584,241-23-97891,3.10E+15,14169,3.04E+15,2000,1995,,,,
1112635,Rosy,FL 33160,555-555-5585,241-43-57895,8.67E+15,22599,8.67E+15,3000,2194,,,,
1113061,Emanuel,MI 48304,555-555-5586,241-83-21228,8.45E+15,22122,8.11E+15,3000,713,,,,
1113437,Indira,TX 78234,555-555-5587,241-33-24561,8.19E+15,3817,8.39E+15,4000,2229,,,,
1114110,Pret,AL 35043,155-555-5588,241-93-67894,1.81E+15,14080,3.81E+15,4000,2672,,,,
1113286,Olga,NY 13850,555-555-5589,241-23-71227,1.45E+15,24432,3.11E+15,3000,451,,,,
1114054,Margarath,UT 84327,525-555-5590,241-23-74560,6.56E+15,12887,6.56E+15,3000,2759,,,,
1114238,Chris,OH 45844,155-555-5591,241-23-97893,2.13E+15,20611,6.33E+15,4000,1167,,,,
1111633,Neel,OK 73162,125-525-5592,241-23-81226,1.08E+15,15113,3.08E+15,4000,1675,,,,
1111667,Omar,ID 83704,117-555-5593,241-23-14559,7.91E+15,14642,7.33E+15,3000,1652,,,,
1111595,Harish,MO 63128,775-555-5594,241-23-87892,1.08E+15,12875,3.08E+15,3000,2443,,,,
1111629,Uma,OH 43213,555-555-5595,241-23-91225,4.01E+15,17388,1.03E+15,3000,942,,,,
1111518,Lilly,TX 77041,555-555-5596,241-23-84558,4.01E+15,14117,1.03E+15,4000,867,,,,
1111551,Bete,MD 20854,555-555-5597,241-23-97891,7.14E+15,7526,7.31E+15,3000,1366,,,,
1111412,Stephen,FL 33902,165-555-5598,241-23-60122,6.11E+15,12785,6.33E+15,4000,2290,,,,
1111530,Neo,TX 75006,155-535-5599,241-23-94558,7.45E+15,25454,7.12E+15,4000,753,,,,
1111481,Laura,WI 54130,675-555-5600,241-23-17891,1.41E+15,1074,3.13E+15,3000,850,,,,
1111484,Ria,WI 54130,555-555-5601,241-23-60122,2.44E+15,19204,6.11E+15,3000,1806,,,,
1111411,Bill,FL 33902,121-555-5602,241-23-94558,9.94E+15,14521,3.31E+15,4000,882,,,,
1111435,Josh,AZ 85234,125-555-5603,241-23-17891,5.44E+15,4684,5.12E+15,3000,1093,,,,
